item,asset,serial,make,model,description,department,location,quantity,cost,deployed
laptop,,,hp,zbook intel core i7 vpro,,,,1,2529,1
laptop,,,hp,zbook intel core i7 vpro,,,,1,2529,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,1
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,1
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,1
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,hp,elitebook intel core i5 vpro,,,,1,1924,1
laptop,,,hp,zbook intel core i7 vpro 9th gen,,,,1,2529,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
laptop,,,hp,elitebook intel core i5 vpro 8th gen,,,,1,1924,
laptop,,,lenovo,thinkpad e14 gen 2,,,,1,700,
